Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks
,US,CRO,Corcoran,Corcoran,CA,AI,---4----,9601,,,
,US,ADF,Cordele,Cordele,GA,RQ,--3-----,9008,,,
,US,LJA,Cordelia,Cordelia,CA,RL,-23--6--,0607,,3812N 12208W,
,US,299,Cordova,Cordova,AL,RL,--3-----,1801,,3345N 08711W,
,US,CD7,Cordova,Cordova,MD,RL,--3-----,0901,,3852N 07559W,
,US,CDV,Cordova,Cordova,AK,AI,1--4----,0001,,,
,US,CYV,Cordova,Cordova,WV,RQ,--3-----,9307,,,
,US,DOA,Cordova,Cordova,TN,RL,--3-----,0407,,3509N 08946W,
,US,ODV,Cordova,Cordova,IL,RL,--3--6--,0401,,4140N 09019W,
,US,OYV,Cordova,Cordova,NC,RL,-23--6--,0901,,3455N 07949W,
,US,RFU,Corfu,Corfu,NY,RQ,--3-----,0907,,4257N 07824W,
,US,VJA,Corinna,Corinna,ME,RL,--3-----,1207,,4455N 06915W,
,US,JCE,Corinne,Corinne,UT,RL,-23-----,0607,,4134N 11207W,
,US,7OR,Corinth,Corinth,VT,RL,--3-----,1807,,4401N 07216W,
,US,8CH,Corinth,Corinth,ME,RL,-----6--,1807,,4459N 06859W,
,US,CRX,Corinth,Corinth,MS,AI,-234----,0401,,3456N 08831W,
,US,OIH,Corinth,Corinth,NY,RL,--3--6--,0401,,4314N 07349W,
,US,TX9,Corinth,Corinth,TX,RL,--3-----,1301,,3350N 09731W,
,US,XEM,Corinth,Corinth,TN,RQ,--3-----,9307,,,
,US,CZA,Cornelia,Cornelia,GA,RQ,--3-----,9307,,,
,US,CN7,Cornelius,Cornelius,NC,RQ,-----6--,1007,,3529N 08051W,
,US,CZG,Cornelius,Cornelius,OR,RL,-23-----,0212,,4531N 12303W,
,US,CZH,Cornelius Pass,Cornelius Pass,OR,RQ,--3-----,9307,,,
,US,CBA,Corner Bay,Corner Bay,AK,AI,---4----,0001,,,
,US,CN8,Cornersville,Cornersville,TN,RL,--3-----,0901,,3521N 08650W,
,US,ADB,Corning,Corning,IA,RQ,--3-----,9008,,,
,US,CGC,Corning,Corning,AR,RQ,--3-----,9307,,,
,US,CJG,Corning,Corning,CA,RQ,--3-----,9307,,,
,US,OIG,Corning,Corning,NY,RL,-234----,0401,,4208N 07703W,
,US,8CO,Cornish,Cornish,NH,RL,--3-----,1807,,4327N 07222W,
,US,9IS,Cornish,Cornish,ME,RL,--3-----,1807,,4348N 07048W,
,US,C35,Cornville,Cornville,AZ,RL,1-3-----,1401,,3443N 11155W,
,US,OQW,Cornwall,Cornwall,VT,RL,--3-----,1201,,4357N 07312W,
,US,W7N,Cornwall,Cornwall,CT,RL,--3-----,1607,,4150N 07319W,
,US,CZD,Cornwells Heights,Cornwells Heights,PA,RQ,--3-----,9008,,,
,US,ZZC,Corolla,Corolla,NC,RL,1-3-----,0901,,3623N 07550W,
,US,CZE,Corona,Corona,CA,RQ,--3-----,9307,,,
,US,QYC,Corona,Corona,NY,RL,--3-----,0607,,4044N 07352W,
,US,CM2,Corona del Mar,Corona del Mar,CA,RL,--3--6--,0607,,3336N 11752W,
,US,CD4,Coronado,Coronado,CA,RL,1-3-----,0607,,3241N 11710W,
,US,CRP,Corpus Christi,Corpus Christi,TX,AI,1--4----,0001,,,
,US,CE3,Corrales,Corrales,NM,RL,--3-----,0607,,3514N 10636W,
,US,TO3,Corralitos,Corralitos,CA,RL,1-3-----,1401,,3659N 12148W,
